2025-04-13 13:54:37,519 - INFO - Starting rate generation run. Log file: logs/rate_generation_20250413_135437.log
2025-04-13 13:54:37,519 - INFO - Properties selected: ['fb1']
2025-04-13 13:54:37,519 - INFO - Date range: 2025-04-13 to 2025-05-13
2025-04-13 13:54:37,519 - INFO - Reference date (today): 2025-04-13
2025-04-13 13:54:37,519 - INFO - Processing property: fb1
2025-04-13 13:54:37,519 - INFO - --- Loading data for fb1 ---
2025-04-13 13:54:38,414 - INFO - --- Data loaded for fb1. Calculating rates... ---
2025-04-13 13:54:38,419 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364773 Date:2025-04-14 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:83.33%, Urg:0-1, RateCol:rate_2
2025-04-13 13:54:38,420 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364778 Date:2025-04-14 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:83.33%, Urg:0-1, RateCol:rate_2
2025-04-13 13:54:38,420 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364773 Date:2025-04-15 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:83.33%, Urg:2-3, RateCol:rate_2
2025-04-13 13:54:38,421 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___490007 Date:2025-04-15 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:83.33%, Urg:2-3, RateCol:rate_3
2025-04-13 13:54:38,421 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364773 Date:2025-04-16 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:66.67%, Urg:2-3, RateCol:rate_2
2025-04-13 13:54:38,422 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364780 Date:2025-04-16 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:66.67%, Urg:2-3, RateCol:rate_1
2025-04-13 13:54:38,423 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364782 Date:2025-04-16 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:66.67%, Urg:2-3, RateCol:rate_1
2025-04-13 13:54:38,423 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___490007 Date:2025-04-16 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:66.67%, Urg:2-3, RateCol:rate_3
2025-04-13 13:54:38,424 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364780 Date:2025-04-17 - Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:0-9 Days (W1), Occ:58.33%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,426 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___634080 Date:2025-04-17 - Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:0-9 Days (W1), Occ:58.33%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,426 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___362535 Date:2025-04-18 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:66.67%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,427 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364780 Date:2025-04-18 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:66.67%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,427 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364781 Date:2025-04-18 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:66.67%, Urg:4-6, RateCol:rate_2
2025-04-13 13:54:38,427 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___634080 Date:2025-04-18 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:66.67%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,428 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___362535 Date:2025-04-19 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:50.00%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,428 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364779 Date:2025-04-19 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:50.00%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,429 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364780 Date:2025-04-19 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:50.00%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,429 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364781 Date:2025-04-19 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:50.00%, Urg:4-6, RateCol:rate_2
2025-04-13 13:54:38,430 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364782 Date:2025-04-19 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:50.00%, Urg:4-6, RateCol:rate_1
2025-04-13 13:54:38,430 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___490007 Date:2025-04-19 - Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:0-9 Days (W1), Occ:50.00%, Urg:4-6, RateCol:rate_3
2025-04-13 13:54:38,431 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___362535 Date:2025-04-20 - Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:0-9 Days (W1), Occ:50.00%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,432 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364779 Date:2025-04-20 - Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:0-9 Days (W1), Occ:50.00%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,432 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364780 Date:2025-04-20 - Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:0-9 Days (W1), Occ:50.00%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,433 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___362535 Date:2025-04-21 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:41.67%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,434 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364773 Date:2025-04-21 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:41.67%, Urg:7-9, RateCol:rate_2
2025-04-13 13:54:38,434 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364779 Date:2025-04-21 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:41.67%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,434 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364780 Date:2025-04-21 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:41.67%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,435 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___490024 Date:2025-04-21 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:41.67%, Urg:7-9, RateCol:rate_3
2025-04-13 13:54:38,435 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___528745 Date:2025-04-21 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:41.67%, Urg:7-9, RateCol:rate_3
2025-04-13 13:54:38,436 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___634080 Date:2025-04-21 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:41.67%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,436 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___362535 Date:2025-04-22 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:33.33%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,437 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364773 Date:2025-04-22 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:33.33%, Urg:7-9, RateCol:rate_2
2025-04-13 13:54:38,437 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364780 Date:2025-04-22 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:33.33%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,438 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___364782 Date:2025-04-22 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:33.33%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,438 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___490007 Date:2025-04-22 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:33.33%, Urg:7-9, RateCol:rate_3
2025-04-13 13:54:38,439 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___490024 Date:2025-04-22 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:33.33%, Urg:7-9, RateCol:rate_3
2025-04-13 13:54:38,439 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___528745 Date:2025-04-22 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:33.33%, Urg:7-9, RateCol:rate_3
2025-04-13 13:54:38,440 - WARNING - Rate lookup error for Prop:fb1 Listing:203812___634080 Date:2025-04-22 - Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:0-9 Days (W1), Occ:33.33%, Urg:7-9, RateCol:rate_1
2025-04-13 13:54:38,517 - INFO - --- Rate calculation complete. 372 total rate entries generated. ---
